university of wisconsin madison	Facebook	1
university of wisconsin madison	Microsoft	2
university of californiairvine	Amazon	1
university of californiairvine	Google	1
university of californiairvine	Apple	1
university of texasatsanantonio	Facebook	1
georgewashingtonuniversity	Facebook	1
georgewashingtonuniversity	Apple	1
university of missouricolumbia	Apple	1
emersoncollege	Amazon	1
university of southern california	Amazon	8
university of southern california	Google	4
university of southern california	Facebook	4
university of southern california	Apple	4
casewesternreserveuniversity	Facebook	1
floridainternationaluniversity	Facebook	1
beihanguniversity	Amazon	1
beihanguniversity	Facebook	1
swarthmorecollege	Facebook	1
university of houston	Amazon	1
pomonacollege	Microsoft	1
harbininstituteoftechnology	Apple	1
waterloo	Amazon	1
waterloo	Facebook	8
waterloo	Microsoft	2
nationaluniversity of singapore	Apple	1
waynestateuniversity	Microsoft	1
university of michigan	Google	2
university of michigan	Microsoft	2
university of michigan	Apple	1
university of freiburg	Google	1
utahstateuniversity	Facebook	1
california institute of technology	Google	2
california institute of technology	Apple	1
syracuseuniversity	Microsoft	1
university of chicago	Google	1
morehousecollege	Microsoft	1
university of notredame	Amazon	1
university of notredame	Microsoft	1
university of connecticut	Microsoft	1
columbia	Facebook	3
michiganstateuniversity	Amazon	1
university of alabama	Apple	1
university of texasatdallas	Google	1
university of texasatdallas	Microsoft	1
vassarcollege	Microsoft	1
northeastern university	Amazon	3
northeastern university	Google	1
northeastern university	Facebook	2
northeastern university	Apple	2
northeastern university	Microsoft	1
tuftsuniversity	Microsoft	1
university of pennsylvania	Amazon	1
university of pennsylvania	Facebook	2
university of pennsylvania	Microsoft	2
university of pennsylvania	Apple	1
harvard university	Amazon	2
harvard university	Google	1
harvard university	Facebook	5
