pekinguniversity	Microsoft	1
university of massachusettsamherst	Amazon	1
annauniversity	Facebook	1
stevensinstituteoftechnology	Amazon	1
rensselaerpolytechnicinstitute	Apple	1
rensselaerpolytechnicinstitute	Microsoft	1
university of washington	Amazon	1
university of washington	Facebook	1
university of washington	Microsoft	6
university of washington	Apple	4
yale university	Amazon	2
yale university	Google	2
yale university	Facebook	2
washingtonuniversityinstlouis	Microsoft	1
cornell university	Amazon	1
cornell university	Google	1
cornell university	Facebook	3
cornell university	Apple	2
cornell university	Microsoft	3
princeton university	Google	2
princeton university	Facebook	2
zhejianguniversity	Facebook	1
university of miami	Amazon	1
university of neworleans	Amazon	1
johns hopkins university	Amazon	1
johns hopkins university	Facebook	2
simonfraseruniversity	Amazon	1
simonfraseruniversity	Apple	1
worcesterpolytechnicinstitute	Google	1
worcesterpolytechnicinstitute	Microsoft	2
university of florida	Google	1
university of florida	Facebook	2
university of florida	Apple	1
ucirvine	Amazon	1
ucirvine	Facebook	1
ucirvine	Apple	2
ucirvine	Microsoft	1
rice	Facebook	1
rice	Microsoft	1
berkeley	Google	3
berkeley	Facebook	5
berkeley	Apple	7
berkeley	Microsoft	2
cityuniversity of newyork	Amazon	1
university of californiasandiego	Google	1
university of californiasandiego	Facebook	1
university of californiasandiego	Apple	3
university of british columbia	Facebook	3
university of british columbia	Microsoft	1
university of british columbia	Apple	1
university of virginia	Amazon	2
university of virginia	Apple	1
ucsd	Amazon	1
harvey mudd college	Google	2
epfl	Facebook	1
hongkonguniversity of scienceandtechnology	Facebook	1
duke	Google	1
duke	Facebook	1
duke	Microsoft	1
university of georgia	Facebook	1
telavivuniversity	Amazon	1
telavivuniversity	Google	1
york university	Amazon	2
york university	Google	2
york university	Facebook	1
york university	Microsoft	1
university of coloradoboulder	Amazon	1
university of york	Apple	1
university of edinburgh	Facebook	2
university of edinburgh	Apple	1
brown	Amazon	1
brown	Facebook	2
brown	Apple	1
dartmouth college	Google	2
dartmouth college	Apple	1
rutgersthestateuniversity of newjersey	Apple	1
